turn_id,pause_index,p_eot
hi__036,0,0.4033
hi__036,1,0.3688
hi__036,2,0.3783
hi__036,3,0.5156
hi__036,4,0.5820
hi__036,5,0.5156
hi__036,6,0.5820
hi__037,0,0.2006
hi__037,1,0.0661
hi__037,2,0.8710
hi__038,0,0.0649
hi__038,1,0.0649
hi__038,2,0.2624
hi__038,3,0.6059
hi__039,0,0.5140
hi__040,0,0.4950
hi__040,1,0.1892
hi__040,2,0.4379
hi__041,0,0.3183
hi__041,1,0.5143
hi__042,0,0.2123
hi__042,1,0.6184
hi__043,0,0.5975
hi__043,1,0.4625
hi__044,0,0.5504
hi__044,1,0.7917
hi__045,0,0.2624
hi__045,1,0.1019
hi__046,0,0.5678
hi__046,1,0.2254
hi__046,2,0.5163
hi__047,0,0.4678
hi__048,0,0.5820
hi__049,0,0.4027
hi__050,0,0.4379
hi__051,0,0.3393
hi__051,1,0.5557
hi__051,2,0.6189
hi__052,0,0.5650
hi__053,0,0.1476
hi__053,1,0.1159
hi__053,2,0.0333
hi__054,0,0.2507
hi__054,1,0.6133
hi__055,0,0.2401
hi__055,1,0.5521
hi__056,0,0.4806
hi__057,0,0.0569
hi__057,1,0.6638
hi__058,0,0.3561
hi__058,1,0.4274
hi__059,0,0.2728
hi__059,1,0.3457
hi__059,2,0.6638
hi__060,0,0.7458
hi__060,1,0.4730
hi__061,0,0.3295
hi__061,1,0.7278
hi__062,0,0.5645
hi__063,0,0.0876
hi__063,1,0.1064
hi__063,2,0.3183
hi__063,3,0.8963
hi__064,0,0.0256
hi__064,1,0.1812
hi__064,2,0.4339
hi__064,3,0.1701
hi__064,4,0.5140
hi__065,0,0.4070
hi__066,0,0.3253
hi__066,1,0.3667
hi__066,2,1.0000
hi__067,0,0.5016
hi__068,0,0.5163
hi__069,0,0.4344
hi__069,1,0.6595
hi__069,2,0.0945
hi__069,3,0.2657
hi__069,4,0.2471
hi__069,5,0.7519
hi__070,0,0.2095
hi__070,1,0.5294
hi__071,0,0.4846
hi__071,1,0.3222
hi__071,2,0.2693
hi__072,0,0.5733
hi__072,1,0.4978
hi__073,0,0.2444
hi__073,1,0.8500
hi__073,2,0.4006
hi__073,3,0.3560
hi__073,4,0.3665
hi__073,5,0.4303
hi__074,0,0.4274
hi__074,1,0.5849
hi__075,0,0.2700
hi__075,1,0.6059
hi__076,0,0.4016
hi__077,0,0.2318
hi__077,1,0.0876
hi__077,2,0.6150
hi__078,0,0.4630
hi__078,1,0.3066
hi__078,2,0.4722
hi__078,3,0.6184
hi__079,0,0.0000
hi__079,1,0.0241
hi__079,2,0.6184
hi__080,0,0.0476
hi__080,1,0.3927
hi__081,0,0.2432
hi__081,1,0.4929
hi__081,2,0.5900
hi__082,0,0.6184
hi__083,0,0.6638
hi__084,0,0.5016
hi__085,0,0.6136
hi__085,1,0.4839
hi__085,2,0.4747
hi__086,0,0.0750
hi__086,1,0.4335
hi__087,0,0.2778
hi__087,1,0.2693
hi__087,2,0.6059
hi__088,0,0.2233
hi__088,1,0.3561
hi__088,2,0.8167
hi__089,0,0.4380
hi__089,1,0.2451
hi__089,2,0.5294
hi__090,0,0.6712
hi__090,1,0.4510
hi__090,2,0.4136
hi__090,3,0.6030
hi__091,0,0.3983
hi__092,0,0.5813
hi__093,0,0.6593
hi__094,0,0.2254
hi__094,1,0.3508
hi__094,2,0.3741
hi__094,3,0.5398
hi__094,4,0.1997
hi__094,5,0.5641
hi__095,0,0.4929
hi__095,1,0.7876
hi__096,0,0.2957
hi__096,1,0.2451
hi__096,2,0.2401
hi__096,3,0.5820
hi__097,0,0.4558
hi__097,1,0.3561
hi__097,2,0.5816
hi__097,3,0.2318
hi__097,4,0.5232
hi__097,5,0.3183
hi__098,0,0.2012
hi__099,0,0.4466
hi__099,1,0.6638
